Movie: 7104 , error: 0.0107300702051
Movie: 6770 , error: 0.0157893363155
Movie: 3174 , error: 0.0189832368624
Movie: 2377 , error: 0.0222264941802
Movie: 31362 , error: 0.0222471945314
Movie: 705 , error: 0.0225057764034
Movie: 4234 , error: 0.0239753856523
Movie: 3365 , error: 0.0249082924245
Movie: 68358 , error: 0.0252921067124
Movie: 7382 , error: 0.0254439858239
Movie: 2210 , error: 0.0256859334835
Movie: 3108 , error: 0.0268896358981
Movie: 30820 , error: 0.0285542260832
Movie: 100714 , error: 0.0297423185316
Movie: 3481 , error: 0.0307908591114
Movie: 60950 , error: 0.0310693413001
Movie: 73323 , error: 0.0313897166787
Movie: 6429 , error: 0.0314179685687
Movie: 8584 , error: 0.0335595856214
Movie: 3334 , error: 0.033638028484
